1993_147149_000000_000000	[Footnote 19: The case, to my certain knowledge, in one churchyard in Manchester.	[Footnote nineteen: The case, to my certain knowledge, in one churchyard in Manchester.	false	7.98	19.11	20.182095
1993_147149_000056_000002	There was something of keen practical shrewdness about her, which contrasted very bewitchingly with the simple, foolish, unworldly ideas she had picked up from the romances which Miss Simmonds' young ladies were in the habit of recommending to each other.	There was something of keen practical shrewdness about her, which contrasted very bewitchingly with the simple, foolish, unworldly ideas she had picked up from the romances which Miss Simmonds' young ladies were in the habit of recommending to each other.	true	1031.99	1046.98	18
1993_147149_000057_000000	Yes! Mary was ambitious, and did not favour Mr. Carson the less because he was rich and a gentleman.	Yes! Mary was ambitious, and did not favour mr Carson the less because he was rich and a gentleman.	true	1047.74	1055.44	18
1993_147149_000057_000001	The old leaven, infused years ago by her aunt Esther, fermented in her little bosom, and perhaps all the more, for her father's aversion to the rich and the gentle. Such is the contrariness of the human heart, from Eve downwards, that we all, in our old-Adam state, fancy things forbidden sweetest.	The old leaven, infused years ago by her aunt esther, fermented in her little bosom, and perhaps all the more, for her father's aversion to the rich and the gentle. Such is the contrariness of the human heart, from Eve downwards, that we all, in our old Adam state, fancy things forbidden sweetest.	false	1056.17	1076.83	20.624395
1993_147149_000057_000002	So Mary dwelt upon and enjoyed the idea of some day becoming a lady, and doing all the elegant nothings appertaining to ladyhood.	So Mary dwelt upon and enjoyed the idea of some day becoming a lady, and doing all the elegant nothings appertaining to ladyhood.	true	1078.04	1086.52	16
1993_147149_000057_000003	It was a comfort to her, when scolded by Miss Simmonds, to think of the day when she would drive up to the door in her own carriage, to order her gowns from the hasty tempered yet kind dressmaker.	It was a comfort to her, when scolded by Miss Simmonds, to think of the day when she would drive up to the door in her own carriage, to order her gowns from the hasty tempered yet kind dressmaker.	true	1087.1	1098.16	16
1993_147149_000057_000004	It was a pleasure to her to hear the general admiration of the two elder Miss Carsons, acknowledged beauties in ball-room and street, on horseback and on foot, and to think of the time when she should ride and walk with them in loving sisterhood.	It was a pleasure to her to hear the general admiration of the two elder Miss Carsons, acknowledged beauties in ball room and street, on horseback and on foot, and to think of the time when she should ride and walk with them in loving sisterhood.	true	1099.82	1114.96	18
1993_147149_000057_000005	But the best of her plans, the holiest, that which in some measure redeemed the vanity of the rest, were those relating to her father; her dear father, now oppressed with care, and always a disheartened, gloomy person.	But the best of her plans, the holiest, that which in some measure redeemed the vanity of the rest, were those relating to her father; her dear father, now oppressed with care, and always a disheartened, gloomy person.	true	1115.57	1130.65	19.397766
1993_147149_000057_000006	How she would surround him with every comfort she could devise (of course, he was to live with them), till he should acknowledge riches to be very pleasant things, and bless his lady-daughter!	How she would surround him with every comfort she could devise (of course, he was to live with them), till he should acknowledge riches to be very pleasant things, and bless his lady daughter!	true	1130.87	1142.71	20.944685
1993_147149_000057_000007	Every one who had shown her kindness in her low estate should then be repaid a hundred-fold.	Every one who had shown her kindness in her low estate should then be repaid a hundred fold.	true	1143.32	1148.68	17
1993_147149_000058_000000	Such were the castles in air, the Alnaschar-visions in which Mary indulged, and which she was doomed in after days to expiate with many tears.	Such were the castles in air, the Alnaschar visions in which Mary indulged, and which she was doomed in after days to expiate with many tears.	false	1149.23	1158.58	21
1993_147149_000059_000000	Meanwhile, her words--or, even more, her tones--would maintain their hold on Jem Wilson's memory.	Meanwhile, her words-or, even more, her tones-would maintain their hold on Jem Wilson's memory.	true	1159.31	1166.35	19.662199
1993_147149_000059_000001	A thrill would yet come over him when he remembered how her hand had rested on his arm.	A thrill would yet come over him when he remembered how her hand had rested on his arm.	false	1167.14	1172.68	16
1993_147149_000059_000002	The thought of her mingled with all his grief, and it was profound, for the loss of his brothers.	The thought of her mingled with all his grief, and it was profound, for the loss of his brothers.	false	1173.05	1185.48	18.902437
