777_126732_000000_000000	He a pessimist!	He a pessimist!	false	0.6	1.71	18.184181
777_126732_000037_000005	Moved by the just indignation of a man well over forty, menaced in what is dearest to him--his repose and his security--he asked himself scornfully what else could have been expected from such a lot, this Karl Yundt, this Michaelis--this Ossipon.	Moved by the just indignation of a man well over forty, menaced in what is dearest to him-his repose and his security-he asked himself scornfully what else could have been expected from such a lot, this Karl Yundt, this Michaelis-this Ossipon.	false	910.38	932.34	20.481474
777_126732_000038_000000	Pausing in his intention to turn off the gas burning in the middle of the shop, Mr Verloc descended into the abyss of moral reflections.	Pausing in his intention to turn off the gas burning in the middle of the shop, Mr Verloc descended into the abyss of moral reflections.	false	932.34	940.95	21.010403
777_126732_000038_000001	With the insight of a kindred temperament he pronounced his verdict.	With the insight of a kindred temperament he pronounced his verdict.	false	940.95	944.28	20.109838
777_126732_000038_000002	A lazy lot--this Karl Yundt, nursed by a blear-eyed old woman, a woman he had years ago enticed away from a friend, and afterwards had tried more than once to shake off into the gutter.	A lazy lot-this Karl Yundt, nursed by a blear eyed old woman, a woman he had years ago enticed away from a friend, and afterwards had tried more than once to shake off into the gutter.	false	944.28	955.02	21.47492
777_126732_000038_000003	Jolly lucky for Yundt that she had persisted in coming up time after time, or else there would have been no one now to help him out of the 'bus by the Green Park railings, where that spectre took its constitutional crawl every fine morning.	Jolly lucky for Yundt that she had persisted in coming up time after time, or else there would have been no one now to help him out of the 'bus by the Green Park railings, where that spectre took its constitutional crawl every fine morning.	false	955.02	971.28	21.280073
777_126732_000038_000004	When that indomitable snarling old witch died the swaggering spectre would have to vanish too--there would be an end to fiery Karl Yundt.	When that indomitable snarling old witch died the swaggering spectre would have to vanish too-there would be an end to fiery Karl Yundt.	false	971.28	982.515	21.634539
777_126732_000038_000005	And Mr Verloc's morality was offended also by the optimism of Michaelis, annexed by his wealthy old lady, who had taken lately to sending him to a cottage she had in the country.	And Mr Verloc's morality was offended also by the optimism of Michaelis, annexed by his wealthy old lady, who had taken lately to sending him to a cottage she had in the country.	false	982.515	999.975	21.591198
777_126732_000038_000006	The ex-prisoner could moon about the shady lanes for days together in a delicious and humanitarian idleness.	The ex prisoner could moon about the shady lanes for days together in a delicious and humanitarian idleness.	false	999.975	1007.85	21.418491
777_126732_000038_000007	As to Ossipon, that beggar was sure to want for nothing as long as there were silly girls with savings-bank books in the world.	As to Ossipon, that beggar was sure to want for nothing as long as there were silly girls with savings bank books in the world.	false	1007.85	1017.11	22.812931
777_126732_000038_000008	And Mr Verloc, temperamentally identical with his associates, drew fine distinctions in his mind on the strength of insignificant differences.	And Mr Verloc, temperamentally identical with his associates, drew fine distinctions in his mind on the strength of insignificant differences.	false	1017.11	1021.59	22.416231
777_126732_000038_000009	He drew them with a certain complacency, because the instinct of conventional respectability was strong within him, being only overcome by his dislike of all kinds of recognised labour--a temperamental defect which he shared with a large proportion of revolutionary reformers of a given social state.	He drew them with a certain complacency, because the instinct of conventional respectability was strong within him, being only overcome by his dislike of all kinds of recognised labour-a temperamental defect which he shared with a large proportion of revolutionary reformers of a given social state.	false	1021.59	1036.44	22.22335
777_126732_000038_000010	For obviously one does not revolt against the advantages and opportunities of that state, but against the price which must be paid for the same in the coin of accepted morality, self-restraint, and toil.	For obviously one does not revolt against the advantages and opportunities of that state, but against the price which must be paid for the same in the coin of accepted morality, self restraint, and toil.	false	1036.44	1046.31	19.641586
777_126732_000038_000011	The majority of revolutionists are the enemies of discipline and fatigue mostly.	The majority of revolutionists are the enemies of discipline and fatigue mostly.	false	1046.31	1049.07	22.997843
777_126732_000038_000012	There are natures too, to whose sense of justice the price exacted looms up monstrously enormous, odious, oppressive, worrying, humiliating, extortionate, intolerable.	There are natures too, to whose sense of justice the price exacted looms up monstrously enormous, odious, oppressive, worrying, humiliating, extortionate, intolerable.	false	1049.07	1055.22	21.865707
777_126732_000038_000013	Those are the fanatics.	Those are the fanatics.	false	1055.22	1057.82	21.62338
777_126732_000038_000014	The remaining portion of social rebels is accounted for by vanity, the mother of all noble and vile illusions, the companion of poets, reformers, charlatans, prophets, and incendiaries.	The remaining portion of social rebels is accounted for by vanity, the mother of all noble and vile illusions, the companion of poets, reformers, charlatans, prophets, and incendiaries.	false	1057.82	1067.07	20.757719
777_126732_000039_000000	Lost for a whole minute in the abyss of meditation, Mr Verloc did not reach the depth of these abstract considerations.	Lost for a whole minute in the abyss of meditation, Mr Verloc did not reach the depth of these abstract considerations.	false	1067.07	1074.75	20.229462
777_126732_000039_000001	Perhaps he was not able.	Perhaps he was not able.	false	1074.75	1076.37	21.18423
777_126732_000039_000002	In any case he had not the time.	In any case he had not the time.	false	1076.37	1079.49	23.314272
777_126732_000039_000003	He was pulled up painfully by the sudden recollection of Mr Vladimir, another of his associates, whom in virtue of subtle moral affinities he was capable of judging correctly. He considered him as dangerous.	He was pulled up painfully by the sudden recollection of Mr Vladimir, another of his associates, whom in virtue of subtle moral affinities he was capable of judging correctly. He considered him as dangerous.	false	1079.49	1089.75	19.452887
777_126732_000039_000004	A shade of envy crept into his thoughts. Loafing was all very well for these fellows, who knew not Mr Vladimir, and had women to fall back upon; whereas he had a woman to provide for--	A shade of envy crept into his thoughts. Loafing was all very well for these fellows, who knew not Mr Vladimir, and had women to fall back upon; whereas he had a woman to provide for-	false	1089.75	1100.58	20.004608
777_126732_000040_000000	At this point, by a simple association of ideas, Mr Verloc was brought face to face with the necessity of going to bed some time or other that evening.	At this point, by a simple association of ideas, Mr Verloc was brought face to face with the necessity of going to bed some time or other that evening.	false	1100.58	1105.74	20.722536
777_126732_000040_000001	Then why not go now--at once?	Then why not go now-at once?	false	1105.74	1106.85	14
777_126732_000040_000002	He sighed.	He sighed.	false	1106.85	1107.06	25
777_126732_000040_000003	The necessity was not so normally pleasurable as it ought to have been for a man of his age and temperament.	The necessity was not so normally pleasurable as it ought to have been for a man of his age and temperament.	false	1107.06	1112.19	22.538622
777_126732_000040_000004	He dreaded the demon of sleeplessness, which he felt had marked him for its own.	He dreaded the demon of sleeplessness, which he felt had marked him for its own.	false	1112.19	1116.96	24.223736
777_126732_000040_000005	He raised his arm, and turned off the flaring gas-jet above his head.	He raised his arm, and turned off the flaring gas jet above his head.	false	1116.96	1121.97	21.985281
777_126732_000041_000000	A bright band of light fell through the parlour door into the part of the shop behind the counter.	A bright band of light fell through the parlour door into the part of the shop behind the counter.	false	1121.97	1127.88	15
777_126732_000041_000001	It enabled Mr Verloc to ascertain at a glance the number of silver coins in the till.	It enabled Mr Verloc to ascertain at a glance the number of silver coins in the till.	false	1127.88	1134.45	20.712872
777_126732_000041_000002	These were but few; and for the first time since he opened his shop he took a commercial survey of its value.	These were but few; and for the first time since he opened his shop he took a commercial survey of its value.	false	1134.45	1142.55	18.425468
777_126732_000041_000003	This survey was unfavourable.	This survey was unfavourable.	false	1142.55	1143.99	20.383245
777_126732_000041_000004	He had gone into trade for no commercial reasons.	He had gone into trade for no commercial reasons.	false	1143.99	1145.67	14
777_126732_000041_000005	He had been guided in the selection of this peculiar line of business by an instinctive leaning towards shady transactions, where money is picked up easily.	He had been guided in the selection of this peculiar line of business by an instinctive leaning towards shady transactions, where money is picked up easily.	false	1145.67	1154.34	21.278435
777_126732_000041_000006	Moreover, it did not take him out of his own sphere--the sphere which is watched by the police.	Moreover, it did not take him out of his own sphere-the sphere which is watched by the police.	false	1154.34	1163.19	19.649593
777_126732_000041_000007	On the contrary, it gave him a publicly confessed standing in that sphere, and as Mr Verloc had unconfessed relations which made him familiar with yet careless of the police, there was a distinct advantage in such a situation.	On the contrary, it gave him a publicly confessed standing in that sphere, and as Mr Verloc had unconfessed relations which made him familiar with yet careless of the police, there was a distinct advantage in such a situation.	false	1163.19	1173.9	20
777_126732_000041_000008	But as a means of livelihood it was by itself insufficient.	But as a means of livelihood it was by itself insufficient.	false	1173.9	1179.18	16.704998
777_126732_000042_000000	He took the cash-box out of the drawer, and turning to leave the shop, became aware that Stevie was still downstairs.	He took the cash box out of the drawer, and turning to leave the shop, became aware that Stevie was still downstairs.	false	1179.18	1182.24	19
777_126732_000043_000000	What on earth is he doing there?	What on earth is he doing there?	false	1182.24	1182.36	-20
777_126732_000043_000001	Mr Verloc asked himself.	Mr Verloc asked himself.	false	1182.36	1183.44	15
777_126732_000043_000002	What's the meaning of these antics?	What's the meaning of these antics?	false	1183.44	1185	13
777_126732_000043_000003	He looked dubiously at his brother-in-law, but he did not ask him for information.	He looked dubiously at his brother in law, but he did not ask him for information.	false	1185	1190.28	22.197754
777_126732_000043_000004	Mr Verloc's intercourse with Stevie was limited to the casual mutter of a morning, after breakfast, "My boots," and even that was more a communication at large of a need than a direct order or request.	Mr Verloc's intercourse with Stevie was limited to the casual mutter of a morning, after breakfast, "My boots," and even that was more a communication at large of a need than a direct order or request.	false	1190.28	1199.91	19
777_126732_000043_000005	Mr Verloc perceived with some surprise that he did not know really what to say to Stevie.	Mr Verloc perceived with some surprise that he did not know really what to say to Stevie.	false	1199.91	1204.2	21.143452
777_126732_000043_000006	He stood still in the middle of the parlour, and looked into the kitchen in silence.	He stood still in the middle of the parlour, and looked into the kitchen in silence.	false	1204.2	1208.25	21.35968
777_126732_000043_000007	Nor yet did he know what would happen if he did say anything.	Nor yet did he know what would happen if he did say anything.	false	1208.25	1212.54	20
777_126732_000043_000008	And this appeared very queer to Mr Verloc in view of the fact, borne upon him suddenly, that he had to provide for this fellow too.	And this appeared very queer to Mr Verloc in view of the fact, borne upon him suddenly, that he had to provide for this fellow too.	false	1212.54	1220.49	21.745335
777_126732_000043_000009	He had never given a moment's thought till then to that aspect of Stevie's existence.	He had never given a moment's thought till then to that aspect of Stevie's existence.	false	1220.49	1224.96	19.928755
777_126732_000044_000000	Positively he did not know how to speak to the lad.	Positively he did not know how to speak to the lad.	false	1224.96	1228.56	19.371944
777_126732_000044_000001	He watched him gesticulating and murmuring in the kitchen.	He watched him gesticulating and murmuring in the kitchen.	false	1228.56	1230.33	9
777_126732_000044_000002	Stevie prowled round the table like an excited animal in a cage.	Stevie prowled round the table like an excited animal in a cage.	false	1230.33	1234.95	21.231401
777_126732_000044_000003	A tentative "Hadn't you better go to bed now?" produced no effect whatever; and Mr Verloc, abandoning the stony contemplation of his brother-in-law's behaviour, crossed the parlour wearily, cash-box in hand.	A tentative "Hadn't you better go to bed now?" produced no effect whatever; and Mr Verloc, abandoning the stony contemplation of his brother-in-law's behaviour, crossed the parlour wearily, cash box in hand.	false	1234.95	1245.42	21.44424
777_126732_000044_000004	The cause of the general lassitude he felt while climbing the stairs being purely mental, he became alarmed by its inexplicable character.	The cause of the general lassitude he felt while climbing the stairs being purely mental, he became alarmed by its inexplicable character.	false	1245.42	1254.15	18.691763
777_126732_000044_000005	He hoped he was not sickening for anything. He stopped on the dark landing to examine his sensations.	He hoped he was not sickening for anything. He stopped on the dark landing to examine his sensations.	false	1254.15	1259.88	21
777_126732_000044_000006	But a slight and continuous sound of snoring pervading the obscurity interfered with their clearness.	But a slight and continuous sound of snoring pervading the obscurity interfered with their clearness.	false	1259.88	1264.71	21.067936
777_126732_000044_000007	The sound came from his mother-in-law's room.	The sound came from his mother in law's room.	false	1264.71	1268.46	18.730822
777_126732_000044_000008	Another one to provide for, he thought--and on this thought walked into the bedroom.	Another one to provide for, he thought-and on this thought walked into the bedroom.	false	1268.46	1273.44	21.304554
777_126732_000045_000000	Mrs Verloc had fallen asleep with the lamp (no gas was laid upstairs) turned up full on the table by the side of the bed.	Mrs Verloc had fallen asleep with the lamp (no gas was laid upstairs) turned up full on the table by the side of the bed.	false	1273.44	1281.45	19.071753
777_126732_000045_000001	The light thrown down by the shade fell dazzlingly on the white pillow sunk by the weight of her head reposing with closed eyes and dark hair done up in several plaits for the night.	The light thrown down by the shade fell dazzlingly on the white pillow sunk by the weight of her head reposing with closed eyes and dark hair done up in several plaits for the night.	false	1281.45	1298.37	21.127201
777_126732_000045_000002	She woke up with the sound of her name in her ears, and saw her husband standing over her.	She woke up with the sound of her name in her ears, and saw her husband standing over her.	false	1298.37	1307.19	21.423927
777_126732_000046_000000	"Winnie!	"Winnie!	false	1307.19	1307.61	8
777_126732_000046_000001	Winnie!"	Winnie!"	false	1307.61	1308.51	10
777_126732_000047_000000	At first she did not stir, lying very quiet and looking at the cash-box in Mr Verloc's hand.	At first she did not stir, lying very quiet and looking at the cash box in Mr Verloc's hand.	false	1308.51	1315.98	21.349037
777_126732_000047_000001	But when she understood that her brother was "capering all over the place downstairs" she swung out in one sudden movement on to the edge of the bed.	But when she understood that her brother was "capering all over the place downstairs" she swung out in one sudden movement on to the edge of the bed.	false	1315.98	1326.78	21.369358
777_126732_000047_000002	Her bare feet, as if poked through the bottom of an unadorned, sleeved calico sack buttoned tightly at neck and wrists, felt over the rug for the slippers while she looked upward into her husband's face.	Her bare feet, as if poked through the bottom of an unadorned, sleeved calico sack buttoned tightly at neck and wrists, felt over the rug for the slippers while she looked upward into her husband's face.	false	1326.78	1337.28	22.30431
777_126732_000048_000000	"I don't know how to manage him," Mr Verloc explained peevishly.	"I don't know how to manage him," Mr Verloc explained peevishly.	false	1337.28	1344.39	20.382568
777_126732_000048_000001	"Won't do to leave him downstairs alone with the lights."	"Won't do to leave him downstairs alone with the lights."	false	1344.39	1345.74	20
777_126732_000049_000000	She said nothing, glided across the room swiftly, and the door closed upon her white form.	She said nothing, glided across the room swiftly, and the door closed upon her white form.	false	1345.74	1351.17	20.04572
777_126732_000050_000000	Mr Verloc deposited the cash-box on the night table, and began the operation of undressing by flinging his overcoat on to a distant chair. His coat and waistcoat followed.	Mr Verloc deposited the cash box on the night table, and began the operation of undressing by flinging his overcoat on to a distant chair. His coat and waistcoat followed.	false	1351.17	1357.2	21.000996
777_126732_000050_000001	He walked about the room in his stockinged feet, and his burly figure, with the hands worrying nervously at his throat, passed and repassed across the long strip of looking-glass in the door of his wife's wardrobe.	He walked about the room in his stockinged feet, and his burly figure, with the hands worrying nervously at his throat, passed and repassed across the long strip of looking glass in the door of his wife's wardrobe.	false	1357.2	1371.27	21.71153
777_126732_000050_000002	Then after slipping his braces off his shoulders he pulled up violently the venetian blind, and leaned his forehead against the cold window-pane--a fragile film of glass stretched between him and the enormity of cold, black, wet, muddy, inhospitable accumulation of bricks, slates, and stones, things in themselves unlovely and unfriendly to man.	Then after slipping his braces off his shoulders he pulled up violently the venetian blind, and leaned his forehead against the cold window pane-a fragile film of glass stretched between him and the enormity of cold, black, wet, muddy, inhospitable accumulation of bricks, slates, and stones, things in themselves unlovely and unfriendly to man.	false	1371.27	1386.96	21.34707
777_126732_000051_000000	Mr Verloc felt the latent unfriendliness of all out of doors with a force approaching to positive bodily anguish.	Mr Verloc felt the latent unfriendliness of all out of doors with a force approaching to positive bodily anguish.	false	1386.96	1393.17	19
777_126732_000051_000001	There is no occupation that fails a man more completely than that of a secret agent of police.	There is no occupation that fails a man more completely than that of a secret agent of police.	false	1393.17	1398.42	21.60482
777_126732_000051_000002	It's like your horse suddenly falling dead under you in the midst of an uninhabited and thirsty plain.	It's like your horse suddenly falling dead under you in the midst of an uninhabited and thirsty plain.	false	1398.42	1403.37	20.470112
777_126732_000051_000003	The comparison occurred to Mr Verloc because he had sat astride various army horses in his time, and had now the sensation of an incipient fall.	The comparison occurred to Mr Verloc because he had sat astride various army horses in his time, and had now the sensation of an incipient fall.	false	1403.37	1411.5	22.42441
777_126732_000051_000004	The prospect was as black as the window-pane against which he was leaning his forehead.	The prospect was as black as the window pane against which he was leaning his forehead.	false	1411.5	1417.2	20.57275
777_126732_000051_000005	And suddenly the face of Mr Vladimir, clean-shaved and witty, appeared enhaloed in the glow of its rosy complexion like a sort of pink seal, impressed on the fatal darkness.	And suddenly the face of Mr Vladimir, clean shaved and witty, appeared enhaloed in the glow of its rosy complexion like a sort of pink seal, impressed on the fatal darkness.	false	1417.2	1425.3	20.872297
777_126732_000052_000000	This luminous and mutilated vision was so ghastly physically that Mr Verloc started away from the window, letting down the venetian blind with a great rattle.	This luminous and mutilated vision was so ghastly physically that Mr Verloc started away from the window, letting down the venetian blind with a great rattle.	false	1425.3	1428.3	17.608112
777_126732_000052_000001	Discomposed and speechless with the apprehension of more such visions, he beheld his wife re-enter the room and get into bed in a calm business-like manner which made him feel hopelessly lonely in the world.	Discomposed and speechless with the apprehension of more such visions, he beheld his wife re-enter the room and get into bed in a calm business like manner which made him feel hopelessly lonely in the world.	false	1428.3	1434.78	21.12832
777_126732_000052_000002	Mrs Verloc expressed her surprise at seeing him up yet.	Mrs Verloc expressed her surprise at seeing him up yet.	false	1434.78	1438.26	18
777_126732_000053_000000	"I don't feel very well," he muttered, passing his hands over his moist brow.	"I don't feel very well," he muttered, passing his hands over his moist brow.	false	1438.26	1443.09	22.174126
777_126732_000054_000000	"Giddiness?"	"Giddiness?"	false	1443.09	1443.45	5
777_126732_000055_000000	"Yes.	"Yes.	false	1443.45	1444.5	18
777_126732_000055_000001	Not at all well."	Not at all well."	false	1444.5	1445.88	19.517982
777_126732_000056_000000	Mrs Verloc, with all the placidity of an experienced wife, expressed a confident opinion as to the cause, and suggested the usual remedies; but her husband, rooted in the middle of the room, shook his lowered head sadly.	Mrs Verloc, with all the placidity of an experienced wife, expressed a confident opinion as to the cause, and suggested the usual remedies; but her husband, rooted in the middle of the room, shook his lowered head sadly.	false	1445.88	1453.98	22.888037
777_126732_000057_000000	"You'll catch cold standing there," she observed.	"You'll catch cold standing there," she observed.	false	1453.98	1456.08	20.983625
777_126732_000058_000000	Mr Verloc made an effort, finished undressing, and got into bed.	Mr Verloc made an effort, finished undressing, and got into bed.	false	1456.08	1459.56	23.08384
777_126732_000058_000001	Down below in the quiet, narrow street measured footsteps approached the house, then died away unhurried and firm, as if the passer-by had started to pace out all eternity, from gas-lamp to gas-lamp in a night without end; and the drowsy ticking of the old clock on the landing became distinctly audible in the bedroom.	Down below in the quiet, narrow street measured footsteps approached the house, then died away unhurried and firm, as if the passer by had started to pace out all eternity, from gas lamp to gas lamp in a night without end; and the drowsy ticking of the old clock on the landing became distinctly audible in the bedroom.	false	1459.56	1476.54	21.233057
777_126732_000059_000000	Mrs Verloc, on her back, and staring at the ceiling, made a remark.	Mrs Verloc, on her back, and staring at the ceiling, made a remark.	false	1476.54	1481.46	18.607624
777_126732_000060_000000	"Takings very small to-day."	"Takings very small to day."	false	1481.46	1485.39	21.693445
777_126732_000061_000000	Mr Verloc, in the same position, cleared his throat as if for an important statement, but merely inquired:	Mr Verloc, in the same position, cleared his throat as if for an important statement, but merely inquired:	false	1485.39	1491.66	21
777_126732_000062_000000	"Did you turn off the gas downstairs?"	"Did you turn off the gas downstairs?"	false	1491.66	1493.85	17.411348
777_126732_000063_000000	"Yes; I did," answered Mrs Verloc conscientiously.	"Yes; I did," answered Mrs Verloc conscientiously.	false	1493.85	1496.04	17
777_126732_000063_000001	"That poor boy is in a very excited state to-night," she murmured, after a pause which lasted for three ticks of the clock.	"That poor boy is in a very excited state to night," she murmured, after a pause which lasted for three ticks of the clock.	false	1496.04	1503.84	22.269482
777_126732_000064_000000	Mr Verloc cared nothing for Stevie's excitement, but he felt horribly wakeful, and dreaded facing the darkness and silence that would follow the extinguishing of the lamp.	Mr Verloc cared nothing for Stevie's excitement, but he felt horribly wakeful, and dreaded facing the darkness and silence that would follow the extinguishing of the lamp.	false	1503.84	1512.3	21.17929
777_126732_000064_000001	This dread led him to make the remark that Stevie had disregarded his suggestion to go to bed.	This dread led him to make the remark that Stevie had disregarded his suggestion to go to bed.	false	1512.3	1518.36	20.727497
777_126732_000064_000002	Mrs Verloc, falling into the trap, started to demonstrate at length to her husband that this was not "impudence" of any sort, but simply "excitement." There was no young man of his age in London more willing and docile than Stephen, she affirmed; none more affectionate and ready to please, and even useful, as long as people did not upset his poor head.	Mrs Verloc, falling into the trap, started to demonstrate at length to her husband that this was not "impudence" of any sort, but simply "excitement." There was no young man of his age in London more willing and docile than Stephen, she affirmed; none more affectionate and ready to please, and even useful, as long as people did not upset his poor head.	false	1518.36	1545.27	21.143454
777_126732_000064_000003	Mrs Verloc, turning towards her recumbent husband, raised herself on her elbow, and hung over him in her anxiety that he should believe Stevie to be a useful member of the family.	Mrs Verloc, turning towards her recumbent husband, raised herself on her elbow, and hung over him in her anxiety that he should believe Stevie to be a useful member of the family.	false	1545.27	1572.21	20.960802
777_126732_000064_000004	That ardour of protecting compassion exalted morbidly in her childhood by the misery of another child tinged her sallow cheeks with a faint dusky blush, made her big eyes gleam under the dark lids.	That ardour of protecting compassion exalted morbidly in her childhood by the misery of another child tinged her sallow cheeks with a faint dusky blush, made her big eyes gleam under the dark lids.	false	1572.21	1591.44	22.08895
777_126732_000064_000005	Mrs Verloc then looked younger; she looked as young as Winnie used to look, and much more animated than the Winnie of the Belgravian mansion days had ever allowed herself to appear to gentlemen lodgers.	Mrs Verloc then looked younger; she looked as young as Winnie used to look, and much more animated than the Winnie of the Belgravian mansion days had ever allowed herself to appear to gentlemen lodgers.	false	1591.44	1609.83	20.572176
777_126732_000064_000006	Mr Verloc's anxieties had prevented him from attaching any sense to what his wife was saying.	Mr Verloc's anxieties had prevented him from attaching any sense to what his wife was saying.	false	1609.83	1616.88	20
777_126732_000064_000007	It was as if her voice were talking on the other side of a very thick wall.	It was as if her voice were talking on the other side of a very thick wall.	false	1616.88	1627.8	20.420649
777_126732_000064_000008	It was her aspect that recalled him to himself.	It was her aspect that recalled him to himself.	false	1627.8	1631.85	22.914415
777_126732_000065_000000	He appreciated this woman, and the sentiment of this appreciation, stirred by a display of something resembling emotion, only added another pang to his mental anguish.	He appreciated this woman, and the sentiment of this appreciation, stirred by a display of something resembling emotion, only added another pang to his mental anguish.	false	1631.85	1642.47	21.844585
777_126732_000065_000001	When her voice ceased he moved uneasily, and said:	When her voice ceased he moved uneasily, and said:	false	1642.47	1644.3	14
777_126732_000066_000000	"I haven't been feeling well for the last few days."	"I haven't been feeling well for the last few days."	false	1644.3	1647.6	16
777_126732_000067_000000	He might have meant this as an opening to a complete confidence; but Mrs Verloc laid her head on the pillow again, and staring upward, went on:	He might have meant this as an opening to a complete confidence; but Mrs Verloc laid her head on the pillow again, and staring upward, went on:	false	1647.6	1656.54	19.38622
777_126732_000068_000000	"That boy hears too much of what is talked about here.	"That boy hears too much of what is talked about here.	false	1656.54	1660.29	20.074064
777_126732_000068_000001	If I had known they were coming to-night I would have seen to it that he went to bed at the same time I did.	If I had known they were coming to night I would have seen to it that he went to bed at the same time I did.	false	1660.29	1669.95	21.3929
777_126732_000068_000002	He was out of his mind with something he overheard about eating people's flesh and drinking blood.	He was out of his mind with something he overheard about eating people's flesh and drinking blood.	false	1669.95	1678.32	20.772482
777_126732_000068_000003	What's the good of talking like that?"	What's the good of talking like that?"	false	1678.32	1680.06	12
777_126732_000069_000000	There was a note of indignant scorn in her voice.	There was a note of indignant scorn in her voice.	false	1680.06	1683.6	20.366331
777_126732_000069_000001	Mr Verloc was fully responsive now.	Mr Verloc was fully responsive now.	false	1683.6	1687.29	20.663256
777_126732_000070_000000	"Ask Karl Yundt," he growled savagely.	"Ask Karl Yundt," he growled savagely.	false	1687.29	1695.66	20.18356
777_126732_000071_000000	Mrs Verloc, with great decision, pronounced Karl Yundt "a disgusting old man." She declared openly her affection for Michaelis.	Mrs Verloc, with great decision, pronounced Karl Yundt "a disgusting old man." She declared openly her affection for Michaelis.	false	1695.66	1706.31	22.372305
777_126732_000071_000001	Of the robust Ossipon, in whose presence she always felt uneasy behind an attitude of stony reserve, she said nothing whatever.	Of the robust Ossipon, in whose presence she always felt uneasy behind an attitude of stony reserve, she said nothing whatever.	false	1706.31	1898.83	21.184525
777_126732_000071_000002	And continuing to talk of that brother, who had been for so many years an object of care and fears:	And continuing to talk of that brother, who had been for so many years an object of care and fears:	false	1899.29	1904.29	22.216064
777_126732_000072_000000	"He isn't fit to hear what's said here.	"He isn't fit to hear what's said here.	true	1904.72	1906.72	21.033476
777_126732_000072_000001	He believes it's all true.	He believes it's all true.	true	1906.73	1908.36	22.283531
777_126732_000072_000002	He knows no better.	He knows no better.	true	1908.36	1909.6	19.23347
777_126732_000072_000003	He gets into his passions over it."	He gets into his passions over it."	true	1909.61	1911.52	20.969267
777_126732_000073_000000	Mr Verloc made no comment.	Mr Verloc made no comment.	true	1912.1	1914.07	18.901562
777_126732_000074_000000	"He glared at me, as if he didn't know who I was, when I went downstairs. His heart was going like a hammer.	"He glared at me, as if he didn't know who I was, when I went downstairs. His heart was going like a hammer.	true	1914.59	1920.76	21.82712
777_126732_000074_000001	He can't help being excitable.	He can't help being excitable.	true	1920.77	1922.43	22.423124
777_126732_000074_000002	I woke mother up, and asked her to sit with him till he went to sleep.	I woke mother up, and asked her to sit with him till he went to sleep.	false	1922.43	1925.83	22.458683
777_126732_000074_000003	It isn't his fault.	It isn't his fault.	true	1926.08	1927.34	22.175327
777_126732_000074_000004	He's no trouble when he's left alone."	He's no trouble when he's left alone."	true	1927.34	1929.1	17.322191
777_126732_000075_000000	Mr Verloc made no comment.	Mr Verloc made no comment.	true	1929.71	1931.59	20.947939
777_126732_000076_000000	"I wish he had never been to school," Mrs Verloc began again brusquely. "He's always taking away those newspapers from the window to read.	"I wish he had never been to school," Mrs Verloc began again brusquely. "He's always taking away those newspapers from the window to read.	true	1932.29	1939.57	20.930588
777_126732_000076_000001	He gets a red face poring over them.	He gets a red face poring over them.	true	1939.61	1941.85	20.903776
777_126732_000076_000002	We don't get rid of a dozen numbers in a month.	We don't get rid of a dozen numbers in a month.	true	1942.13	1944.57	21.107664
777_126732_000076_000003	They only take up room in the front window.	They only take up room in the front window.	false	1944.57	1946.95	21.302181
777_126732_000076_000004	And Mr Ossipon brings every week a pile of these F. P. tracts to sell at a halfpenny each.	And Mr Ossipon brings every week a pile of these f p tracts to sell at a halfpenny each.	true	1947.08	1952.08	21
777_126732_000076_000005	I wouldn't give a halfpenny for the whole lot.	I wouldn't give a halfpenny for the whole lot.	true	1952.36	1954.52	21.813871
777_126732_000076_000006	It's silly reading--that's what it is.	It's silly reading-that's what it is.	true	1954.52	1956.37	21.342335
777_126732_000076_000007	There's no sale for it.	There's no sale for it.	true	1956.47	1957.93	24.442924
777_126732_000076_000008	The other day Stevie got hold of one, and there was a story in it of a German soldier officer tearing half-off the ear of a recruit, and nothing was done to him for it.	The other day Stevie got hold of one, and there was a story in it of a German soldier officer tearing half off the ear of a recruit, and nothing was done to him for it.	true	1958.39	1967.17	23.134495
777_126732_000076_000009	The brute!	The brute!	true	1967.17	1968.1	28.30657
777_126732_000076_000010	I couldn't do anything with Stevie that afternoon.	I couldn't do anything with Stevie that afternoon.	true	1968.32	1970.62	22.691517
777_126732_000076_000011	The story was enough, too, to make one's blood boil.	The story was enough, too, to make one's blood boil.	true	1970.62	1973.74	23.436834
777_126732_000076_000012	But what's the use of printing things like that?	But what's the use of printing things like that?	true	1973.87	1975.99	22.336601
777_126732_000076_000013	We aren't German slaves here, thank God.	We aren't German slaves here, thank God.	true	1976.06	1978.62	23.616838
777_126732_000076_000014	It's not our business--is it?"	It's not our business-is it?"	false	1978.62	2034.84	19.741665
